s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
59.6945245,89614.5200628,43153.1614228,0.6100745,-0.0322393,9.7222222,0.0000000
60.7214568,89613.9487469,43154.0147622,0.5664326,-0.0521755,9.7222222,0.0000000
61.7552027,89613.4203922,43154.9032845,0.5034466,-0.0699772,9.7222222,0.0000000
62.7948085,89612.9555275,43155.8331668,0.4204422,-0.0888101,9.7222222,0.0000000
63.8476986,89612.5751422,43156.8149430,0.3147601,-0.1119717,9.7222222,-2.3448796
64.9111249,89612.3113196,43157.8451241,0.1818512,-0.1389932,9.4622614,-3.0000000
65.9843745,89612.1987618,43158.9124551,0.0272129,-0.1449589,9.1156401,-3.0000000
67.0930679,89612.2548407,43160.0197294,-0.1268269,-0.1362302,8.7431535,-3.0000000
68.1971368,89612.4739556,43161.1018369,-0.2739876,-0.1437446,8.3557358,-3.0000000
69.2239654,89612.8294054,43162.0651813,-0.4331013,-0.1441106,7.9785555,-3.0000000
70.2654991,89613.3462268,43162.9694424,-0.6222221,-0.2438678,7.5768164,3.0000000
71.2445544,89613.9968843,43163.7010121,-0.8128753,-0.1302540,7.9550285,3.0000000
72.1789934,89614.7068907,43164.3085210,-0.9011613,-0.0536512,8.2999465,3.0000000
73.1047882,89615.4562932,43164.8521127,-1.0027175,-0.1660653,8.6280868,3.0000000
74.0226735,89616.2653975,43165.2855450,-1.1565381,-0.1743707,8.9415431,3.0000000
74.9316771,89617.1214836,43165.5911660,-1.2882596,-0.1039797,9.2414942,-2.7810976
75.8884455,89618.0510730,43165.8175934,-1.3719669,-0.0812099,8.9489375,-3.0000000
76.8216411,89618.9738246,43165.9568184,-1.4805135,-0.1468587,8.6304292,-3.0000000
77.7802693,89619.9324422,43165.9613070,-1.6608511,-0.2036881,8.2905090,3.0000000
78.8284202,89620.9658192,43165.7859433,-1.7979328,-0.0889527,8.6614921,3.0000000
79.8157379,89621.9139859,43165.5106687,-1.9146982,-0.1227483,8.9969635,3.0000000
80.8746932,89622.8870846,43165.0929783,-2.0379238,-0.1227573,9.3433979,1.2142856
81.9491006,89623.8089866,43164.5412104,-2.1882643,-0.1557141,9.4820018,2.1609512
83.0165117,89624.6272281,43163.8557562,-2.3460420,-0.1449602,9.7222222,0.0000000
84.0482709,89625.3112544,43163.0833347,-2.4830727,-0.1188653,9.7222222,0.0000000
85.0536709,89625.8820219,43162.2556551,-2.5864731,-0.0822543,9.7222222,0.0000000
86.0709089,89626.3857217,43161.3718792,-2.6565705,-0.0579269,9.7222222,0.0000000
87.0803721,89626.8349471,43160.4678812,-2.6986485,-0.0247776,9.7222222,0.0000000
